"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
27	0.902538314176245	7	7	"Sleep"	"Yes"	0.1
28	0.801221804511278	7	7	"Sleep"	"Yes"	0.1
29	0.908843537414966	7	7	"Sleep"	"Yes"	0.1
30	0.870269037847697	7	7	"Sleep"	"Yes"	0.1
1	0.892493946731235	8	8	"Sleep"	"Yes"	0.1
2	0.912745098039216	8	8	"Sleep"	"Yes"	0.1
3	0.800142247510669	8	8	"Sleep"	"Yes"	0.1
4	0.817904135338346	8	8	"Sleep"	"Yes"	0.1
5	0.844897959183673	8	8	"Sleep"	"Yes"	0.1
6	0.873323754789272	8	8	"Sleep"	"Yes"	0.1
7	0.90859962406015	8	8	"Sleep"	"Yes"	0.1
8	0.903962703962704	8	8	"Sleep"	"Yes"	0.1
9	0.812011044638748	8	8	"Sleep"	"Yes"	0.1
10	0.874760536398467	8	8	"Sleep"	"Yes"	0.1
11	0.919128329297821	8	8	"Sleep"	"Yes"	0.1
12	0.922227335480902	8	8	"Sleep"	"Yes"	0.1
13	0.88835685483871	8	8	"Sleep"	"Yes"	0.1
14	0.848381212950296	8	8	"Sleep"	"Yes"	0.1
15	0.889758179231863	8	8	"Sleep"	"Yes"	0.1
16	0.9078125	8	8	"Sleep"	"Yes"	0.1
17	0.903129314312011	8	8	"Sleep"	"Yes"	0.1
18	0.936136363636364	8	8	"Sleep"	"Yes"	0.1
19	0.912774725274725	8	8	"Sleep"	"Yes"	0.1
20	0.903378042722305	8	8	"Sleep"	"Yes"	0.1
21	0.875704887218045	8	8	"Sleep"	"Yes"	0.1
22	0.928101503759398	8	8	"Sleep"	"Yes"	0.1
23	0.918103448275862	8	8	"Sleep"	"Yes"	0.1
24	0.89636803874092	8	8	"Sleep"	"Yes"	0.1
25	0.892959770114943	8	8	"Sleep"	"Yes"	0.1
26	0.921791767554479	8	8	"Sleep"	"Yes"	0.1
27	0.884259259259259	8	8	"Sleep"	"Yes"	0.1
28	0.878208232445521	8	8	"Sleep"	"Yes"	0.1
29	0.935704514363885	8	8	"Sleep"	"Yes"	0.1
30	0.964104924068109	8	8	"Sleep"	"Yes"	0.1
1	0.911637931034483	9	9	"Sleep"	"Yes"	0.1
2	0.846985734008283	9	9	"Sleep"	"Yes"	0.1
3	0.875905797101449	9	9	"Sleep"	"Yes"	0.1
4	0.891176470588235	9	9	"Sleep"	"Yes"	0.1
5	0.878663003663004	9	9	"Sleep"	"Yes"	0.1
6	0.956296992481203	9	9	"Sleep"	"Yes"	0.1
7	0.800462962962963	9	9	"Sleep"	"Yes"	0.1
8	0.841938405797101	9	9	"Sleep"	"Yes"	0.1
9	0.890943575154101	9	9	"Sleep"	"Yes"	0.1
10	0.881351981351981	9	9	"Sleep"	"Yes"	0.1
11	0.863031233998976	9	9	"Sleep"	"Yes"	0.1
12	0.889648882808938	9	9	"Sleep"	"Yes"	0.1
13	0.89402560455192	9	9	"Sleep"	"Yes"	0.1
14	0.923776223776224	9	9	"Sleep"	"Yes"	0.1
15	0.927167338709677	9	9	"Sleep"	"Yes"	0.1
16	0.89837962962963	9	9	"Sleep"	"Yes"	0.1
17	0.917191283292978	9	9	"Sleep"	"Yes"	0.1
18	0.915362731152205	9	9	"Sleep"	"Yes"	0.1
19	0.915229885057471	9	9	"Sleep"	"Yes"	0.1
20	0.970833333333333	9	9	"Sleep"	"Yes"	0.1
21	0.886848072562358	9	9	"Sleep"	"Yes"	0.1
22	0.891525423728814	9	9	"Sleep"	"Yes"	0.1
23	0.927884615384615	9	9	"Sleep"	"Yes"	0.1
24	0.89622641509434	9	9	"Sleep"	"Yes"	0.1
25	0.787037037037037	9	9	"Sleep"	"Yes"	0.1
26	0.790229885057471	9	9	"Sleep"	"Yes"	0.1
27	0.917727272727273	9	9	"Sleep"	"Yes"	0.1
28	0.844362745098039	9	9	"Sleep"	"Yes"	0.1
29	0.850520833333333	9	9	"Sleep"	"Yes"	0.1
30	0.951867816091954	9	9	"Sleep"	"Yes"	0.1
1	0.938858695652174	10	10	"Sleep"	"Yes"	0.1
2	0.867312348668281	10	10	"Sleep"	"Yes"	0.1
3	0.915909090909091	10	10	"Sleep"	"Yes"	0.1
4	0.869249394673123	10	10	"Sleep"	"Yes"	0.1
5	0.861942015646572	10	10	"Sleep"	"Yes"	0.1
6	0.911401098901099	10	10	"Sleep"	"Yes"	0.1
7	0.891841491841492	10	10	"Sleep"	"Yes"	0.1
8	0.906810860561436	9	10	"Sleep"	"Yes"	0.1
9	0.846249379036264	10	10	"Sleep"	"Yes"	0.1
10	0.886574074074074	10	10	"Sleep"	"Yes"	0.1
11	0.904304029304029	10	10	"Sleep"	"Yes"	0.1
12	0.863425925925926	10	10	"Sleep"	"Yes"	0.1
13	0.816666666666667	10	10	"Sleep"	"Yes"	0.1
14	0.874068554396423	10	10	"Sleep"	"Yes"	0.1
15	0.835164835164835	9	10	"Sleep"	"Yes"	0.1
16	0.8995337995338	10	10	"Sleep"	"Yes"	0.1
17	0.912268518518519	10	10	"Sleep"	"Yes"	0.1
18	0.93543956043956	10	10	"Sleep"	"Yes"	0.1
19	0.849074074074074	9	10	"Sleep"	"Yes"	0.1
20	0.817917675544794	10	10	"Sleep"	"Yes"	0.1
21	0.908424908424908	10	10	"Sleep"	"Yes"	0.1
22	0.895536125172573	10	10	"Sleep"	"Yes"	0.1
23	0.875	10	10	"Sleep"	"Yes"	0.1
24	0.880454545454545	10	10	"Sleep"	"Yes"	0.1
25	0.861545756282598	9	10	"Sleep"	"Yes"	0.1
26	0.901288541187299	10	10	"Sleep"	"Yes"	0.1
27	0.899478425794215	10	10	"Sleep"	"Yes"	0.1
28	0.895337995337995	9	10	"Sleep"	"Yes"	0.1
29	0.906481481481481	10	10	"Sleep"	"Yes"	0.1
30	0.914032567049808	10	10	"Sleep"	"Yes"	0.1
1	0.869387755102041	10	11	"Sleep"	"Yes"	0.1
2	0.968627450980392	10	11	"Sleep"	"Yes"	0.1
3	0.873892773892774	10	11	"Sleep"	"Yes"	0.1
4	0.87972027972028	10	11	"Sleep"	"Yes"	0.1
5	0.896072796934866	10	11	"Sleep"	"Yes"	0.1
6	0.833560090702948	11	11	"Sleep"	"Yes"	0.1
7	0.887878787878788	11	11	"Sleep"	"Yes"	0.1
8	0.902644778841769	9	11	"Sleep"	"Yes"	0.1
9	0.930860805860806	10	11	"Sleep"	"Yes"	0.1
10	0.844224574321215	11	11	"Sleep"	"Yes"	0.1
11	0.88861985472155	10	11	"Sleep"	"Yes"	0.1
12	0.887861545756283	10	11	"Sleep"	"Yes"	0.1
13	0.873563218390805	10	11	"Sleep"	"Yes"	0.1
14	0.912037037037037	10	11	"Sleep"	"Yes"	0.1
15	0.904761904761905	11	11	"Sleep"	"Yes"	0.1
16	0.905454545454545	11	11	"Sleep"	"Yes"	0.1
