"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
3	0.90112063282795	10	13	"Sleep"	"Yes"	0
4	0.879696769940672	9	13	"Sleep"	"Yes"	0
5	0.939202657807309	11	13	"Sleep"	"Yes"	0
6	0.922368421052632	11	13	"Sleep"	"Yes"	0
7	0.904318936877076	11	13	"Sleep"	"Yes"	0
8	0.948717948717949	9	13	"Sleep"	"Yes"	0
9	0.880952380952381	8	13	"Sleep"	"Yes"	0
10	0.896052631578947	11	13	"Sleep"	"Yes"	0
11	0.933155080213904	10	13	"Sleep"	"Yes"	0
12	0.896345514950166	11	13	"Sleep"	"Yes"	0
13	0.872775214238629	10	13	"Sleep"	"Yes"	0
14	0.962096242584047	11	13	"Sleep"	"Yes"	0
15	0.871794871794872	9	13	"Sleep"	"Yes"	0
16	0.890909090909091	11	13	"Sleep"	"Yes"	0
17	0.891029900332226	13	13	"Sleep"	"Yes"	0
18	0.93582704186685	12	13	"Sleep"	"Yes"	0
19	0.901661129568106	10	13	"Sleep"	"Yes"	0
20	0.864646464646465	12	13	"Sleep"	"Yes"	0
21	0.896345514950166	13	13	"Sleep"	"Yes"	0
22	0.944285714285714	10	13	"Sleep"	"Yes"	0
23	0.962458471760797	13	13	"Sleep"	"Yes"	0
24	0.897368421052632	10	13	"Sleep"	"Yes"	0
25	0.897435897435897	12	13	"Sleep"	"Yes"	0
26	0.846052631578947	12	13	"Sleep"	"Yes"	0
27	0.918449197860963	11	13	"Sleep"	"Yes"	0
28	0.867774086378738	11	13	"Sleep"	"Yes"	0
29	0.906746031746032	11	13	"Sleep"	"Yes"	0
30	0.911184210526316	11	13	"Sleep"	"Yes"	0
1	0.869736842105263	12	14	"Sleep"	"Yes"	0
2	0.9024064171123	13	14	"Sleep"	"Yes"	0
3	0.90112063282795	13	14	"Sleep"	"Yes"	0
4	0.909868421052632	9	14	"Sleep"	"Yes"	0
5	0.858974358974359	10	14	"Sleep"	"Yes"	0
6	0.922259136212625	10	14	"Sleep"	"Yes"	0
7	0.948412698412698	12	14	"Sleep"	"Yes"	0
8	0.88179347826087	11	14	"Sleep"	"Yes"	0
9	0.961538461538462	13	14	"Sleep"	"Yes"	0
10	0.94646533973919	12	14	"Sleep"	"Yes"	0
11	0.877144818119423	10	14	"Sleep"	"Yes"	0
12	0.838903743315508	8	14	"Sleep"	"Yes"	0
13	0.86616847826087	8	14	"Sleep"	"Yes"	0
14	0.923684210526316	13	14	"Sleep"	"Yes"	0
15	0.861461794019934	10	14	"Sleep"	"Yes"	0
16	0.869435215946844	11	14	"Sleep"	"Yes"	0
17	0.922874093605801	11	14	"Sleep"	"Yes"	0
18	0.935897435897436	10	14	"Sleep"	"Yes"	0
19	0.970588235294118	11	14	"Sleep"	"Yes"	0
20	0.785714285714286	11	14	"Sleep"	"Yes"	0
21	0.886904761904762	11	14	"Sleep"	"Yes"	0
22	0.884868421052632	10	14	"Sleep"	"Yes"	0
23	0.89572192513369	11	14	"Sleep"	"Yes"	0
24	0.948717948717949	13	14	"Sleep"	"Yes"	0
25	0.935526315789474	11	14	"Sleep"	"Yes"	0
26	0.899342105263158	12	14	"Sleep"	"Yes"	0
27	0.93506921555702	11	14	"Sleep"	"Yes"	0
28	0.899003322259136	11	14	"Sleep"	"Yes"	0
29	0.935526315789474	11	14	"Sleep"	"Yes"	0
30	0.871710526315789	11	14	"Sleep"	"Yes"	0
1	0.913315754779169	9	15	"Sleep"	"Yes"	0
2	0.935897435897436	13	15	"Sleep"	"Yes"	0
3	0.926829268292683	12	15	"Sleep"	"Yes"	0
4	0.888372093023256	9	15	"Sleep"	"Yes"	0
5	0.905748663101604	11	15	"Sleep"	"Yes"	0
6	0.937705998681608	11	15	"Sleep"	"Yes"	0
7	0.89671052631579	10	15	"Sleep"	"Yes"	0
8	0.933333333333333	8	15	"Sleep"	"Yes"	0
9	0.948684210526316	12	15	"Sleep"	"Yes"	0
10	0.898809523809524	13	15	"Sleep"	"Yes"	0
11	0.911330049261084	10	15	"Sleep"	"Yes"	0
12	0.871031746031746	11	15	"Sleep"	"Yes"	0
13	0.888888888888889	12	15	"Sleep"	"Yes"	0
14	0.93125	13	15	"Sleep"	"Yes"	0
15	0.920634920634921	12	15	"Sleep"	"Yes"	0
16	0.935526315789474	14	15	"Sleep"	"Yes"	0
17	0.911184210526316	11	15	"Sleep"	"Yes"	0
18	0.884615384615385	10	15	"Sleep"	"Yes"	0
19	0.948172757475083	9	15	"Sleep"	"Yes"	0
20	0.911184210526316	14	15	"Sleep"	"Yes"	0
21	0.948026315789474	13	15	"Sleep"	"Yes"	0
22	0.929812834224599	13	15	"Sleep"	"Yes"	0
23	0.936184210526316	12	15	"Sleep"	"Yes"	0
24	0.923684210526316	11	15	"Sleep"	"Yes"	0
25	0.854946524064171	11	15	"Sleep"	"Yes"	0
26	0.922619047619048	11	15	"Sleep"	"Yes"	0
27	0.937705998681608	11	15	"Sleep"	"Yes"	0
28	0.924916943521595	11	15	"Sleep"	"Yes"	0
29	0.91025641025641	11	15	"Sleep"	"Yes"	0
30	0.922874093605801	11	15	"Sleep"	"Yes"	0
1	0.876767676767677	12	16	"Sleep"	"Yes"	0
2	0.925133689839572	10	16	"Sleep"	"Yes"	0
3	0.93506921555702	11	16	"Sleep"	"Yes"	0
4	0.922619047619048	10	16	"Sleep"	"Yes"	0
5	0.884615384615385	9	16	"Sleep"	"Yes"	0
6	0.897435897435897	10	16	"Sleep"	"Yes"	0
7	0.894285714285714	9	16	"Sleep"	"Yes"	0
8	0.90797342192691	11	16	"Sleep"	"Yes"	0
9	0.849833887043189	10	16	"Sleep"	"Yes"	0
10	0.936497326203209	11	16	"Sleep"	"Yes"	0
11	0.923026315789474	10	16	"Sleep"	"Yes"	0
12	0.883720930232558	10	16	"Sleep"	"Yes"	0
13	0.908042188529993	11	16	"Sleep"	"Yes"	0
14	0.951515151515152	12	16	"Sleep"	"Yes"	0
15	0.922874093605801	10	16	"Sleep"	"Yes"	0
16	0.925	11	16	"Sleep"	"Yes"	0
17	0.90797342192691	11	16	"Sleep"	"Yes"	0
18	0.907085561497326	10	16	"Sleep"	"Yes"	0
19	0.893687707641196	12	16	"Sleep"	"Yes"	0
20	0.845238095238095	8	16	"Sleep"	"Yes"	0
21	0.886184210526316	13	16	"Sleep"	"Yes"	0
22	0.900793650793651	10	16	"Sleep"	"Yes"	0
23	0.845788043478261	11	16	"Sleep"	"Yes"	0
24	0.929812834224599	11	16	"Sleep"	"Yes"	0
25	0.975609756097561	10	16	"Sleep"	"Yes"	0
26	0.962635869565217	10	16	"Sleep"	"Yes"	0
