"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
21	0.977779815392139	9	9	"Churn"	"Yes"	0
22	0.929043677442865	9	9	"Churn"	"Yes"	0
23	0.944745984922976	9	9	"Churn"	"Yes"	0
24	0.949254650446745	9	9	"Churn"	"Yes"	0
25	0.919015698762189	9	9	"Churn"	"Yes"	0
26	0.917577413479053	9	9	"Churn"	"Yes"	0
27	0.922559381466292	9	9	"Churn"	"Yes"	0
28	0.90779303894058	9	9	"Churn"	"Yes"	0
29	0.946293873152709	9	9	"Churn"	"Yes"	0
30	0.936661970462495	9	9	"Churn"	"Yes"	0
1	0.913499429485596	10	10	"Churn"	"Yes"	0
2	0.959322098666361	10	10	"Churn"	"Yes"	0
3	0.926863323500492	10	10	"Churn"	"Yes"	0
4	0.932047126076196	10	10	"Churn"	"Yes"	0
5	0.923031203566122	10	10	"Churn"	"Yes"	0
6	0.939745508982036	10	10	"Churn"	"Yes"	0
7	0.918220211161388	10	10	"Churn"	"Yes"	0
8	0.919692350332594	10	10	"Churn"	"Yes"	0
9	0.924612160966214	10	10	"Churn"	"Yes"	0
10	0.931877036688267	10	10	"Churn"	"Yes"	0
11	0.948526016009852	10	10	"Churn"	"Yes"	0
12	0.917571069376026	10	10	"Churn"	"Yes"	0
13	0.926195549242424	10	10	"Churn"	"Yes"	0
14	0.941832206255283	10	10	"Churn"	"Yes"	0
15	0.92909815330129	10	10	"Churn"	"Yes"	0
16	0.928699060121267	10	10	"Churn"	"Yes"	0
17	0.901644847264183	10	10	"Churn"	"Yes"	0
18	0.896502656210473	10	10	"Churn"	"Yes"	0
19	0.929113365168996	10	10	"Churn"	"Yes"	0
20	0.922851129818343	10	10	"Churn"	"Yes"	0
21	0.926449431736441	10	10	"Churn"	"Yes"	0
22	0.928513071895425	10	10	"Churn"	"Yes"	0
23	0.873246971607627	10	10	"Churn"	"Yes"	0
24	0.90312896459032	10	10	"Churn"	"Yes"	0
25	0.903726001324065	10	10	"Churn"	"Yes"	0
26	0.94888618614774	10	10	"Churn"	"Yes"	0
27	0.90609117658298	10	10	"Churn"	"Yes"	0
28	0.960934467304231	10	10	"Churn"	"Yes"	0
29	0.934737386136055	10	10	"Churn"	"Yes"	0
30	0.92586474931986	10	10	"Churn"	"Yes"	0
1	0.908539171656687	11	11	"Churn"	"Yes"	0
2	0.896005437624177	11	11	"Churn"	"Yes"	0
3	0.929637059203964	11	11	"Churn"	"Yes"	0
4	0.923320297318305	11	11	"Churn"	"Yes"	0
5	0.918087902683538	11	11	"Churn"	"Yes"	0
6	0.928934775483448	11	11	"Churn"	"Yes"	0
7	0.959219465367006	11	11	"Churn"	"Yes"	0
8	0.921366869918699	11	11	"Churn"	"Yes"	0
9	0.915204047379274	11	11	"Churn"	"Yes"	0
10	0.912794783695143	11	11	"Churn"	"Yes"	0
11	0.870425339366516	11	11	"Churn"	"Yes"	0
12	0.939817462186193	11	11	"Churn"	"Yes"	0
13	0.929919337851735	11	11	"Churn"	"Yes"	0
14	0.919127544760384	11	11	"Churn"	"Yes"	0
15	0.895982322217758	11	11	"Churn"	"Yes"	0
16	0.892672712943031	11	11	"Churn"	"Yes"	0
17	0.921606692765592	11	11	"Churn"	"Yes"	0
18	0.911110560422268	11	11	"Churn"	"Yes"	0
19	0.931802378554644	11	11	"Churn"	"Yes"	0
20	0.908550467998988	11	11	"Churn"	"Yes"	0
21	0.901418639940714	11	11	"Churn"	"Yes"	0
22	0.930550634256963	11	11	"Churn"	"Yes"	0
23	0.907279829545454	11	11	"Churn"	"Yes"	0
24	0.9230049721853	11	11	"Churn"	"Yes"	0
25	0.963297279580465	11	11	"Churn"	"Yes"	0
26	0.909976829766935	11	11	"Churn"	"Yes"	0
27	0.915583616403289	11	11	"Churn"	"Yes"	0
28	0.888679014609695	11	11	"Churn"	"Yes"	0
29	0.90032860729582	11	11	"Churn"	"Yes"	0
30	0.923479765426881	11	11	"Churn"	"Yes"	0
1	0.940557732855254	12	12	"Churn"	"Yes"	0
2	0.924973060344828	12	12	"Churn"	"Yes"	0
3	0.94544078407225	12	12	"Churn"	"Yes"	0
4	0.922688138310851	12	12	"Churn"	"Yes"	0
5	0.906576980568012	12	12	"Churn"	"Yes"	0
6	0.918560606060606	12	12	"Churn"	"Yes"	0
7	0.862835595776772	12	12	"Churn"	"Yes"	0
8	0.865180615102188	12	12	"Churn"	"Yes"	0
9	0.908403778640059	12	12	"Churn"	"Yes"	0
10	0.896193645549942	12	12	"Churn"	"Yes"	0
11	0.887238122125372	12	12	"Churn"	"Yes"	0
12	0.933188869800614	12	12	"Churn"	"Yes"	0
13	0.912810890654318	12	12	"Churn"	"Yes"	0
14	0.881392018690884	12	12	"Churn"	"Yes"	0
15	0.93584028132267	12	12	"Churn"	"Yes"	0
16	0.924006878362206	12	12	"Churn"	"Yes"	0
