"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
1	0.88671096345515	8	8	"Sleep"	"Yes"	0
2	0.868716931216931	8	8	"Sleep"	"Yes"	0
3	0.901737967914438	8	8	"Sleep"	"Yes"	0
4	0.873015873015873	8	8	"Sleep"	"Yes"	0
5	0.890873015873016	8	8	"Sleep"	"Yes"	0
6	0.920833333333333	8	8	"Sleep"	"Yes"	0
7	0.889584706657877	8	8	"Sleep"	"Yes"	0
8	0.920237310481213	8	8	"Sleep"	"Yes"	0
9	0.881114130434783	8	8	"Sleep"	"Yes"	0
10	0.896176664469347	8	8	"Sleep"	"Yes"	0
11	0.900328947368421	8	8	"Sleep"	"Yes"	0
12	0.938694792353329	8	8	"Sleep"	"Yes"	0
13	0.948863636363636	8	8	"Sleep"	"Yes"	0
14	0.909868421052632	8	8	"Sleep"	"Yes"	0
15	0.925581395348837	8	8	"Sleep"	"Yes"	0
16	0.811838624338624	8	8	"Sleep"	"Yes"	0
17	0.909690177982861	8	8	"Sleep"	"Yes"	0
18	0.876973684210526	8	8	"Sleep"	"Yes"	0
19	0.90707671957672	8	8	"Sleep"	"Yes"	0
20	0.911111111111111	8	8	"Sleep"	"Yes"	0
21	0.908068783068783	8	8	"Sleep"	"Yes"	0
22	0.904605263157895	8	8	"Sleep"	"Yes"	0
23	0.857142857142857	8	8	"Sleep"	"Yes"	0
24	0.869102990033223	8	8	"Sleep"	"Yes"	0
25	0.88013468013468	8	8	"Sleep"	"Yes"	0
26	0.888888888888889	8	8	"Sleep"	"Yes"	0
27	0.891029900332226	8	8	"Sleep"	"Yes"	0
28	0.898422090729783	8	8	"Sleep"	"Yes"	0
29	0.936226166995398	8	8	"Sleep"	"Yes"	0
30	0.929934210526316	8	8	"Sleep"	"Yes"	0
1	0.944107744107744	8	9	"Sleep"	"Yes"	0
2	0.895502645502645	9	9	"Sleep"	"Yes"	0
3	0.919407894736842	9	9	"Sleep"	"Yes"	0
4	0.948412698412698	9	9	"Sleep"	"Yes"	0
5	0.931578947368421	8	9	"Sleep"	"Yes"	0
6	0.914617940199336	9	9	"Sleep"	"Yes"	0
7	0.871794871794872	9	9	"Sleep"	"Yes"	0
8	0.872727272727273	8	9	"Sleep"	"Yes"	0
9	0.749671052631579	9	9	"Sleep"	"Yes"	0
10	0.875757575757576	9	9	"Sleep"	"Yes"	0
11	0.907070707070707	9	9	"Sleep"	"Yes"	0
12	0.901494565217391	9	9	"Sleep"	"Yes"	0
13	0.923684210526316	9	9	"Sleep"	"Yes"	0
14	0.836842105263158	9	9	"Sleep"	"Yes"	0
15	0.90976430976431	9	9	"Sleep"	"Yes"	0
16	0.9	8	9	"Sleep"	"Yes"	0
17	0.887607119314436	9	9	"Sleep"	"Yes"	0
18	0.918259723137772	9	9	"Sleep"	"Yes"	0
19	0.895394736842105	9	9	"Sleep"	"Yes"	0
20	0.871381578947368	9	9	"Sleep"	"Yes"	0
21	0.934739617666447	9	9	"Sleep"	"Yes"	0
22	0.843253968253968	9	9	"Sleep"	"Yes"	0
23	0.919789612097304	9	9	"Sleep"	"Yes"	0
24	0.881395348837209	9	9	"Sleep"	"Yes"	0
25	0.93129520052597	9	9	"Sleep"	"Yes"	0
26	0.931229235880399	8	9	"Sleep"	"Yes"	0
27	0.877339572192513	9	9	"Sleep"	"Yes"	0
28	0.828042328042328	8	9	"Sleep"	"Yes"	0
29	0.902072192513369	9	9	"Sleep"	"Yes"	0
30	0.847368421052632	9	9	"Sleep"	"Yes"	0
1	0.90210942649967	10	10	"Sleep"	"Yes"	0
2	0.845238095238095	10	10	"Sleep"	"Yes"	0
3	0.948717948717949	10	10	"Sleep"	"Yes"	0
4	0.851021753460778	9	10	"Sleep"	"Yes"	0
5	0.91025641025641	10	10	"Sleep"	"Yes"	0
6	0.851521164021164	10	10	"Sleep"	"Yes"	0
7	0.90976430976431	9	10	"Sleep"	"Yes"	0
8	0.875	9	10	"Sleep"	"Yes"	0
9	0.902325581395349	10	10	"Sleep"	"Yes"	0
10	0.888157894736842	9	10	"Sleep"	"Yes"	0
11	0.902768622280817	9	10	"Sleep"	"Yes"	0
12	0.875411997363217	10	10	"Sleep"	"Yes"	0
13	0.936507936507937	10	10	"Sleep"	"Yes"	0
14	0.909868421052632	10	10	"Sleep"	"Yes"	0
15	0.864473684210526	10	10	"Sleep"	"Yes"	0
